0,0,13.8
0,5,13.8
2,1,13.8
0,4,13.8
1,-2,13.8
2,6,13.8
3,1,13.8
-1,4,13.8
1,4,13.8
4,2,13.8
0,0,13.8
0,0,13.8
2,5,13.8
2,4,13.8
2,2,13.8
0,0,13.8
1,3,13.8
1,4,13.8
0,0,13.8
1,7,13.8
5,2,13.8
0,0,13.8
-1,2,13.8
0,0,13.8
6,9,13.8
2,0,13.8
-1,2,13.8
-1,0,13.8
2,7,13.8
1,1,13.8
-1,2,13.8
-3,3,13.8
-2,3,13.8
0,0,13.8
-2,2,13.8
0,0,13.8
2,7,13.8
0,0,13.8
-2,2,13.8
-2,0,13.8
0,0,13.8
0,0,13.8
-3,2,13.8
-1,0,13.8
-1,-3,13.8
1,3,13.8
0,0,13.8
-4,-1,13.8
1,0,13.8
0,0,13.8
-1,4,13.8
0,0,13.8
0,-1,13.8
-2,2,13.8
1,0,13.8
6,5,13.8
2,0,13.8
-1,1,13.8
3,2,13.8
0,0,13.8
5,-2,13.8
1,2,13.8
2,0,13.8
2,3,13.8
0,0,13.8
2,2,13.8
-2,1,13.8
0,0,13.8
2,0,13.8
0,0,13.8
-4,4,13.8
-2,-5,13.8
-2,3,13.8
2,-2,13.8
-2,1,13.8
-1,0,13.8
-1,-1,13.8
0,0,13.8
-3,0,13.8
0,-2,13.8
-1,-1,13.8
-1,1,13.8
-2,0,13.8
-2,-2,13.8
0,-1,13.8
-1,1,13.8
2,4,13.8
0,-1,13.8
2,-1,13.8
-2,3,13.8
3,0,13.8
2,1,13.8
-1,4,13.8
0,-3,13.8
3,4,13.8
2,-2,13.8
-2,1,13.8
2,3,13.8
1,1,13.8
-1,0,13.8
2,2,13.8
-1,-1,13.8
3,4,13.8
2,-1,13.8
-2,3,13.8
2,0,13.8
0,0,13.8
0,0,13.8
-1,-2,13.8
