0,0,14.4
0,5,14.4
-1,1,14.4
0,0,14.4
0,0,14.4
1,5,14.4
0,0,14.4
0,0,14.4
1,3,14.4
2,2,14.4
-1,1,14.4
0,6,14.4
0,0,14.4
-1,6,14.4
0,0,14.4
1,5,14.4
-1,2,14.4
-2,4,14.4
0,4,14.4
0,1,14.4
-1,1,14.4
-2,6,14.4
-1,1,14.4
0,0,14.4
-1,4,14.4
1,4,14.4
0,0,14.4
0,0,14.4
0,3,14.4
1,3,14.4
0,1,14.4
1,3,14.4
2,2,14.4
0,1,14.4
3,6,14.4
0,0,14.4
1,0,14.4
-1,4,14.4
2,1,14.4
0,0,14.4
-1,1,14.4
2,5,14.4
0,1,14.4
-1,1,14.4
-1,1,14.4
0,1,14.4
-1,1,14.4
1,0,14.4
-3,1,14.4
-1,0,14.4
-1,1,14.4
-2,1,14.4
0,-1,14.4
-1,1,14.4
-1,0,14.4
0,-1,14.4
0,-1,14.4
1,4,14.4
3,1,14.4
1,0,14.4
-1,1,14.4
4,-1,14.4
0,0,14.4
-1,1,14.4
3,2,14.4
3,1,14.4
0,1,14.4
0,0,14.4
2,2,14.4
2,1,14.4
0,1,14.4
1,1,14.4
2,-1,14.4
0,1,14.4
-1,0,14.4
1,-1,14.4
0,0,14.4
-5,1,14.4
-1,-1,14.4
-1,0,14.4
-1,1,14.4
-3,0,14.4
0,0,14.4
-1,1,14.4
-2,1,14.4
-1,0,14.4
0,0,14.4
0,1,14.4
2,1,14.4
3,-1,14.4
